,0
clean_name_intersect_min,float64
clean_name_intersect_max,float64
clean_name_levenshtein_sim,float64
clean_name_trigram_sim,float64
clean_name_levenshtein_term,float64
clean_name_trigram_term,float64
clean_name_including,object
clean_name_equality,object
city_including,object
city_equality,object
zip_intersect_min,object
zip_including,object
zip_equality,object
street_including,object
street_equality,object
website_including,object
website_equality,object
countryname_trigram_term,object
countryname_including,object
countryname_equality,object
geocoderlocalityname_intersect_min,object
geocoderlocalityname_intersect_max,object
geocoderlocalityname_levenshtein_sim,object
geocoderlocalityname_trigram_sim,object
geocoderlocalityname_levenshtein_term,object
geocoderlocalityname_trigram_term,object
geocoderlocalityname_including,object
geocoderlocalityname_equality,object
geocoderinputaddress_intersect_min,object
geocoderinputaddress_intersect_max,object
geocoderinputaddress_levenshtein_sim,object
geocoderinputaddress_trigram_sim,object
geocoderinputaddress_levenshtein_term,object
geocoderinputaddress_trigram_term,object
geocoderinputaddress_including,object
geocoderinputaddress_equality,object
geocoderoutputaddress_intersect_min,object
geocoderoutputaddress_intersect_max,object
geocoderoutputaddress_levenshtein_sim,object
geocoderoutputaddress_trigram_sim,object
geocoderoutputaddress_levenshtein_term,object
geocoderoutputaddress_trigram_term,object
geocoderoutputaddress_including,object
geocoderoutputaddress_equality,object
geocoderpostalcodenumber_intersect_min,object
geocoderpostalcodenumber_intersect_max,object
geocoderpostalcodenumber_levenshtein_sim,object
geocoderpostalcodenumber_trigram_sim,object
geocoderpostalcodenumber_levenshtein_term,object
geocoderpostalcodenumber_trigram_term,object
geocoderpostalcodenumber_including,object
geocoderpostalcodenumber_equality,object
geocodercountrynamecode_intersect_min,object
geocodercountrynamecode_intersect_max,object
geocodercountrynamecode_levenshtein_sim,object
geocodercountrynamecode_trigram_sim,object
geocodercountrynamecode_levenshtein_term,object
geocodercountrynamecode_trigram_term,object
geocodercountrynamecode_including,object
geocodercountrynamecode_equality,object
phone_equality,object
fax_equality,object
street_number_diff,object
street_number_levenshtein,object
street_number_trigram,object
street_number_equality,object
geocode_coordinates_long_diff,object
geocode_coordinates_long_levenshtein,object
geocode_coordinates_long_trigram,object
geocode_coordinates_long_equality,object
geocode_coordinates_lat_diff,object
geocode_coordinates_lat_levenshtein,object
geocode_coordinates_lat_trigram,object
geocode_coordinates_lat_equality,object
coordinates_long_equality,object
coordinates_lat_equality,object
geocode_coordinates_diff,object
label,int64
