,0
clean_name_intersect_min,0
clean_name_intersect_max,0
clean_name_levenshtein_sim,0
clean_name_trigram_sim,0
clean_name_levenshtein_term,0
clean_name_trigram_term,0
zip_intersect_min,0
countryname_trigram_term,0
geocoderlocalityname_intersect_min,0
geocoderlocalityname_intersect_max,0
geocoderlocalityname_levenshtein_sim,0
geocoderlocalityname_trigram_sim,0
geocoderlocalityname_levenshtein_term,0
geocoderlocalityname_trigram_term,0
geocoderinputaddress_intersect_min,0
geocoderinputaddress_intersect_max,0
geocoderinputaddress_levenshtein_sim,0
geocoderinputaddress_trigram_sim,0
geocoderinputaddress_levenshtein_term,0
geocoderinputaddress_trigram_term,0
geocoderoutputaddress_intersect_min,0
geocoderoutputaddress_intersect_max,0
geocoderoutputaddress_levenshtein_sim,0
geocoderoutputaddress_trigram_sim,0
geocoderoutputaddress_levenshtein_term,0
geocoderoutputaddress_trigram_term,0
geocoderpostalcodenumber_intersect_min,0
geocoderpostalcodenumber_intersect_max,0
geocoderpostalcodenumber_levenshtein_sim,0
geocoderpostalcodenumber_trigram_sim,0
geocoderpostalcodenumber_levenshtein_term,0
geocoderpostalcodenumber_trigram_term,0
geocodercountrynamecode_intersect_min,0
geocodercountrynamecode_intersect_max,0
geocodercountrynamecode_levenshtein_sim,0
geocodercountrynamecode_trigram_sim,0
geocodercountrynamecode_levenshtein_term,0
geocodercountrynamecode_trigram_term,0
street_number_diff,0
street_number_levenshtein,0
street_number_trigram,0
geocode_coordinates_long_diff,0
geocode_coordinates_long_levenshtein,0
geocode_coordinates_long_trigram,0
geocode_coordinates_lat_diff,0
geocode_coordinates_lat_levenshtein,0
geocode_coordinates_lat_trigram,0
geocode_coordinates_diff,0
clean_name_including_n,0
clean_name_including_s,0
clean_name_equality_n,0
clean_name_equality_s,0
city_including_m,0
city_including_n,0
city_including_s,0
city_equality_m,0
city_equality_n,0
city_equality_s,0
zip_including_m,0
zip_including_n,0
zip_including_s,0
zip_equality_m,0
zip_equality_n,0
zip_equality_s,0
street_including_m,0
street_including_n,0
street_including_s,0
street_equality_m,0
street_equality_n,0
street_equality_s,0
website_including_m,0
website_including_n,0
website_including_s,0
website_equality_m,0
website_equality_n,0
website_equality_s,0
countryname_including_m,0
countryname_including_n,0
countryname_including_s,0
countryname_equality_m,0
countryname_equality_n,0
countryname_equality_s,0
geocoderinputaddress_including_m,0
geocoderinputaddress_including_n,0
geocoderinputaddress_including_s,0
geocoderlocalityname_including_m,0
geocoderlocalityname_including_n,0
geocoderlocalityname_including_s,0
geocoderlocalityname_equality_m,0
geocoderlocalityname_equality_n,0
geocoderlocalityname_equality_s,0
geocoderinputaddress_equality_m,0
geocoderinputaddress_equality_n,0
geocoderinputaddress_equality_s,0
geocoderoutputaddress_including_m,0
geocoderoutputaddress_including_n,0
geocoderoutputaddress_including_s,0
geocoderoutputaddress_equality_m,0
geocoderoutputaddress_equality_n,0
geocoderoutputaddress_equality_s,0
geocoderpostalcodenumber_including_m,0
geocoderpostalcodenumber_including_n,0
geocoderpostalcodenumber_including_s,0
geocoderpostalcodenumber_equality_m,0
geocoderpostalcodenumber_equality_n,0
geocoderpostalcodenumber_equality_s,0
geocodercountrynamecode_including_m,0
geocodercountrynamecode_including_n,0
geocodercountrynamecode_including_s,0
geocodercountrynamecode_equality_m,0
geocodercountrynamecode_equality_n,0
geocodercountrynamecode_equality_s,0
phone_equality_m,0
phone_equality_n,0
phone_equality_s,0
fax_equality_m,0
fax_equality_n,0
fax_equality_s,0
street_number_equality_m,0
street_number_equality_n,0
street_number_equality_s,0
geocode_coordinates_long_equality_m,0
geocode_coordinates_long_equality_n,0
geocode_coordinates_long_equality_s,0
geocode_coordinates_lat_equality_m,0
geocode_coordinates_lat_equality_n,0
geocode_coordinates_lat_equality_s,0
coordinates_long_equality_m,0
coordinates_long_equality_n,0
coordinates_long_equality_s,0
coordinates_lat_equality_m,0
coordinates_lat_equality_n,0
coordinates_lat_equality_s,0
