,0
id,0
clean_name_intersect_min,0
clean_name_intersect_max,0
clean_name_levenshtein_sim,0
clean_name_trigram_sim,0
clean_name_levenshtein_term,0
clean_name_trigram_term,0
clean_name_including,0
clean_name_equality,0
city_intersect_min,22295
city_intersect_max,22295
city_levenshtein_sim,22295
city_trigram_sim,22295
city_levenshtein_term,22295
city_trigram_term,22295
city_including,0
city_equality,0
zip_intersect_min,25110
zip_intersect_max,25110
zip_levenshtein_sim,25110
zip_trigram_sim,25110
zip_levenshtein_term,25110
zip_trigram_term,25110
zip_including,0
zip_equality,0
street_intersect_min,24445
street_intersect_max,24445
street_levenshtein_sim,24445
street_trigram_sim,24445
street_levenshtein_term,24445
street_trigram_term,24445
street_including,0
street_equality,0
website_intersect_min,32288
website_intersect_max,32288
website_levenshtein_sim,32288
website_trigram_sim,32288
website_levenshtein_term,32288
website_trigram_term,32288
website_including,0
website_equality,0
countryname_intersect_min,28797
countryname_intersect_max,28797
countryname_levenshtein_sim,28797
countryname_trigram_sim,28797
countryname_levenshtein_term,28797
countryname_trigram_term,28797
countryname_including,0
countryname_equality,0
geocoderlocalityname_intersect_min,539
geocoderlocalityname_intersect_max,539
geocoderlocalityname_levenshtein_sim,539
geocoderlocalityname_trigram_sim,539
geocoderlocalityname_levenshtein_term,539
geocoderlocalityname_trigram_term,539
geocoderlocalityname_including,0
geocoderlocalityname_equality,0
geocoderinputaddress_intersect_min,55
geocoderinputaddress_intersect_max,55
geocoderinputaddress_levenshtein_sim,55
geocoderinputaddress_trigram_sim,55
geocoderinputaddress_levenshtein_term,55
geocoderinputaddress_trigram_term,55
geocoderinputaddress_including,0
geocoderinputaddress_equality,0
geocoderoutputaddress_intersect_min,9
geocoderoutputaddress_intersect_max,9
geocoderoutputaddress_levenshtein_sim,9
geocoderoutputaddress_trigram_sim,9
geocoderoutputaddress_levenshtein_term,9
geocoderoutputaddress_trigram_term,9
geocoderoutputaddress_including,0
geocoderoutputaddress_equality,0
geocoderpostalcodenumber_intersect_min,4569
geocoderpostalcodenumber_intersect_max,4569
geocoderpostalcodenumber_levenshtein_sim,4569
geocoderpostalcodenumber_trigram_sim,4569
geocoderpostalcodenumber_levenshtein_term,4569
geocoderpostalcodenumber_trigram_term,4569
geocoderpostalcodenumber_including,0
geocoderpostalcodenumber_equality,0
geocodercountrynamecode_intersect_min,1353
geocodercountrynamecode_intersect_max,1353
geocodercountrynamecode_levenshtein_sim,1353
geocodercountrynamecode_trigram_sim,1353
geocodercountrynamecode_levenshtein_term,1353
geocodercountrynamecode_trigram_term,1353
geocodercountrynamecode_including,0
geocodercountrynamecode_equality,0
phone_diff,20053
phone_levenshtein,20053
phone_trigram,20053
phone_equality,0
fax_diff,33569
fax_levenshtein,33569
fax_trigram,33569
fax_equality,0
street_number_diff,11985
street_number_levenshtein,11985
street_number_trigram,11985
street_number_equality,0
geocode_coordinates_long_diff,6
geocode_coordinates_long_levenshtein,6
geocode_coordinates_long_trigram,6
geocode_coordinates_long_equality,0
geocode_coordinates_lat_diff,6
geocode_coordinates_lat_levenshtein,6
geocode_coordinates_lat_trigram,6
geocode_coordinates_lat_equality,0
coordinates_long_diff,18965
coordinates_long_levenshtein,18965
coordinates_long_trigram,18965
coordinates_long_equality,0
coordinates_lat_diff,18965
coordinates_lat_levenshtein,18965
coordinates_lat_trigram,18965
coordinates_lat_equality,0
geocode_coordinates_diff,6
coordinates_diff,18965
label,0
